symbol,chembl_id,name,selectivity_class,max_phase,ontarget_ic50_q1,ontarget_n,gene_id,reason_included,lspci_id
ABL1,CHEMBL553,ERLOTINIB,Semi-selective,4,150,33,25,clinical,55022
ABL1,CHEMBL1289926,AXITINIB,Most selective,4,3.6,21,25,clinical,72090
ABL1,CHEMBL428,TROVAFLOXACIN,Unknown,4,631,1,25,clinical,74091
ABL1,CHEMBL477772,PAZOPANIB,Poly-selective,4,605,24,25,clinical,81652
ABL1,CHEMBL535,SUNITINIB,Other,4,202,44,25,clinical,81903
ABL1,CHEMBL24828,VANDETANIB,Semi-selective,4,20,33,25,clinical,82962
ABL1,CHEMBL1336,SORAFENIB,Poly-selective,4,215,44,25,clinical,83706
ABL1,CHEMBL1289494,TIVOZANIB,Unknown,4,195,1,25,clinical,85818
ABL1,CHEMBL939,GEFITINIB,Poly-selective,4,631,25,25,clinical,85883
ABL1,CHEMBL601719,CRIZOTINIB,Semi-selective,4,78.4,22,25,clinical,87732
ABL1,CHEMBL1873475,IBRUTINIB,Poly-selective,4,86.1,3,25,clinical,89596
ABL1,CHEMBL1946170,REGORAFENIB,Unknown,4,753,1,25,clinical,89597
ABL1,CHEMBL941,IMATINIB,Most selective,4,21,77,25,clinical,96316
ABL1,CHEMBL502835,NINTEDANIB,Poly-selective,4,48,16,25,clinical,97329
ABL1,CHEMBL1287853,FEDRATINIB,Semi-selective,4,53,16,25,clinical,97675
ABL1,CHEMBL1983268,ENTRECTINIB,Poly-selective,4,658,3,25,clinical,100587
ABL1,CHEMBL255863,NILOTINIB,Most selective,4,11.5,24,25,clinical,100755
ABL1,CHEMBL1171837,PONATINIB,Most selective,4,0.82,16,25,clinical,101419
ABL1,CHEMBL1173655,AFATINIB,Semi-selective,4,500,16,25,clinical,102013
ABL1,CHEMBL4208229,ASCIMINIB,Unknown,3,0.5,2,25,expert_opinion,6926577
ABL2,CHEMBL553,ERLOTINIB,Poly-selective,4,200,4,27,clinical,55022
ABL2,CHEMBL2105717,CABOZANTINIB,Unknown,4,918,1,27,clinical,66990
ABL2,CHEMBL1289926,AXITINIB,Poly-selective,4,312,2,27,clinical,72090
ABL2,CHEMBL24828,VANDETANIB,Semi-selective,4,69,4,27,clinical,82962
ABL2,CHEMBL1289494,TIVOZANIB,Unknown,4,302,1,27,clinical,85818
ABL2,CHEMBL2028663,DABRAFENIB,Unknown,4,305,1,27,clinical,86423
ABL2,CHEMBL601719,CRIZOTINIB,Poly-selective,4,435,2,27,clinical,87732
ABL2,CHEMBL1873475,IBRUTINIB,Other,4,919,1,27,clinical,89596
ABL2,CHEMBL941,IMATINIB,Most selective,4,10,5,27,clinical,96316
