xName,size,shape,fill,stroke,strokeWidth,Kd(nM),KMap-name,KMap-type,KMap-source,KMap-setId
DDR1,35,circle,Cyan,LightGray,1.5,0.7,Imatinib,"Karaman et al., 2008",Profiling,BK10
ABL1,34,circle,Cyan,LightGray,1.5,12,Imatinib,"Karaman et al., 2008",Profiling,BK10
ABL2,34,circle,Cyan,LightGray,1.5,10,Imatinib,"Karaman et al., 2008",Profiling,BK10
DDR2,34,circle,Cyan,LightGray,1.5,15,Imatinib,"Karaman et al., 2008",Profiling,BK10
KIT,34,circle,Cyan,LightGray,1.5,14,Imatinib,"Karaman et al., 2008",Profiling,BK10
PDGFRb,34,circle,Cyan,LightGray,1.5,14,Imatinib,"Karaman et al., 2008",Profiling,BK10
FMS,33,circle,Cyan,LightGray,1.5,19,Imatinib,"Karaman et al., 2008",Profiling,BK10
PDGFRa,32,circle,Cyan,LightGray,1.5,31,Imatinib,"Karaman et al., 2008",Profiling,BK10
LCK,30,circle,Cyan,LightGray,1.5,40,Imatinib,"Karaman et al., 2008",Profiling,BK10
BLK,15,circle,Cyan,LightGray,1.5,520,Imatinib,"Karaman et al., 2008",Profiling,BK10
CDK11,15,circle,Cyan,LightGray,1.5,5500,Imatinib,"Karaman et al., 2008",Profiling,BK10
CLK1,15,circle,Cyan,LightGray,1.5,4500,Imatinib,"Karaman et al., 2008",Profiling,BK10
CLK4,15,circle,Cyan,LightGray,1.5,2100,Imatinib,"Karaman et al., 2008",Profiling,BK10
DRAK1,15,circle,Cyan,LightGray,1.5,5300,Imatinib,"Karaman et al., 2008",Profiling,BK10
EphA8,15,circle,Cyan,LightGray,1.5,1400,Imatinib,"Karaman et al., 2008",Profiling,BK10
FGR,15,circle,Cyan,LightGray,1.5,2400,Imatinib,"Karaman et al., 2008",Profiling,BK10
FRK,15,circle,Cyan,LightGray,1.5,1500,Imatinib,"Karaman et al., 2008",Profiling,BK10
FYN,15,circle,Cyan,LightGray,1.5,3100,Imatinib,"Karaman et al., 2008",Profiling,BK10
GAK,15,circle,Cyan,LightGray,1.5,1000,Imatinib,"Karaman et al., 2008",Profiling,BK10
JNK1,15,circle,Cyan,LightGray,1.5,5000,Imatinib,"Karaman et al., 2008",Profiling,BK10
JNK3,15,circle,Cyan,LightGray,1.5,3100,Imatinib,"Karaman et al., 2008",Profiling,BK10
LYN,15,circle,Cyan,LightGray,1.5,890,Imatinib,"Karaman et al., 2008",Profiling,BK10
MELK,15,circle,Cyan,LightGray,1.5,1900,Imatinib,"Karaman et al., 2008",Profiling,BK10
PLK4,15,circle,Cyan,LightGray,1.5,7800,Imatinib,"Karaman et al., 2008",Profiling,BK10
RAF1,15,circle,Cyan,LightGray,1.5,1700,Imatinib,"Karaman et al., 2008",Profiling,BK10
HH498,15,circle,Cyan,LightGray,1.5,4300,Imatinib,"Karaman et al., 2008",Profiling,BK10
ZAK,15,circle,Cyan,LightGray,1.5,2600,Imatinib,"Karaman et al., 2008",Profiling,BK10
