xName,size,shape,fill,stroke,strokeWidth,Kd(nM),KMap-name,KMap-type,KMap-source,KMap-setId
EGFR,35,circle,Cyan,LightGray,1.5,1,Gefitinib,"Karaman et al., 2008",Profiling,BK7
GAK,34,circle,Cyan,LightGray,1.5,13,Gefitinib,"Karaman et al., 2008",Profiling,BK7
MNK1,16,circle,Cyan,LightGray,1.5,290,Gefitinib,"Karaman et al., 2008",Profiling,BK7
BLK,15,circle,Cyan,LightGray,1.5,1200,Gefitinib,"Karaman et al., 2008",Profiling,BK7
CRIK,15,circle,Cyan,LightGray,1.5,1300,Gefitinib,"Karaman et al., 2008",Profiling,BK7
CK1e,15,circle,Cyan,LightGray,1.5,430,Gefitinib,"Karaman et al., 2008",Profiling,BK7
DAPK3,15,circle,Cyan,LightGray,1.5,5700,Gefitinib,"Karaman et al., 2008",Profiling,BK7
DMPK1,15,circle,Cyan,LightGray,1.5,6900,Gefitinib,"Karaman et al., 2008",Profiling,BK7
DRAK1,15,circle,Cyan,LightGray,1.5,2000,Gefitinib,"Karaman et al., 2008",Profiling,BK7
DRAK2,15,circle,Cyan,LightGray,1.5,3800,Gefitinib,"Karaman et al., 2008",Profiling,BK7
EphA1,15,circle,Cyan,LightGray,1.5,4000,Gefitinib,"Karaman et al., 2008",Profiling,BK7
EphA6,15,circle,Cyan,LightGray,1.5,590,Gefitinib,"Karaman et al., 2008",Profiling,BK7
EphA8,15,circle,Cyan,LightGray,1.5,1800,Gefitinib,"Karaman et al., 2008",Profiling,BK7
ErbB2,15,circle,Cyan,LightGray,1.5,3500,Gefitinib,"Karaman et al., 2008",Profiling,BK7
ErbB4,15,circle,Cyan,LightGray,1.5,410,Gefitinib,"Karaman et al., 2008",Profiling,BK7
Erk3,15,circle,Cyan,LightGray,1.5,1600,Gefitinib,"Karaman et al., 2008",Profiling,BK7
Erk4,15,circle,Cyan,LightGray,1.5,3100,Gefitinib,"Karaman et al., 2008",Profiling,BK7
FRK,15,circle,Cyan,LightGray,1.5,2000,Gefitinib,"Karaman et al., 2008",Profiling,BK7
HCK,15,circle,Cyan,LightGray,1.5,4400,Gefitinib,"Karaman et al., 2008",Profiling,BK7
IRAK3,15,circle,Cyan,LightGray,1.5,1500,Gefitinib,"Karaman et al., 2008",Profiling,BK7
JNK3,15,circle,Cyan,LightGray,1.5,3200,Gefitinib,"Karaman et al., 2008",Profiling,BK7
LCK,15,circle,Cyan,LightGray,1.5,630,Gefitinib,"Karaman et al., 2008",Profiling,BK7
LOK,15,circle,Cyan,LightGray,1.5,470,Gefitinib,"Karaman et al., 2008",Profiling,BK7
LYN,15,circle,Cyan,LightGray,1.5,990,Gefitinib,"Karaman et al., 2008",Profiling,BK7
MNK2,15,circle,Cyan,LightGray,1.5,1200,Gefitinib,"Karaman et al., 2008",Profiling,BK7
skMLCK,15,circle,Cyan,LightGray,1.5,1900,Gefitinib,"Karaman et al., 2008",Profiling,BK7
PHKg1,15,circle,Cyan,LightGray,1.5,3700,Gefitinib,"Karaman et al., 2008",Profiling,BK7
PIM3,15,circle,Cyan,LightGray,1.5,5800,Gefitinib,"Karaman et al., 2008",Profiling,BK7
RIPK2,15,circle,Cyan,LightGray,1.5,530,Gefitinib,"Karaman et al., 2008",Profiling,BK7
SLK,15,circle,Cyan,LightGray,1.5,920,Gefitinib,"Karaman et al., 2008",Profiling,BK7
QIK,15,circle,Cyan,LightGray,1.5,2100,Gefitinib,"Karaman et al., 2008",Profiling,BK7
SRC,15,circle,Cyan,LightGray,1.5,3800,Gefitinib,"Karaman et al., 2008",Profiling,BK7
TXK,15,circle,Cyan,LightGray,1.5,6000,Gefitinib,"Karaman et al., 2008",Profiling,BK7
